
 NS = 8   NO. FOURIER MODES = 288   FTOLV = 1.000e-11   NITER = 4000

 ITER |    FSQR     FSQZ     FSQL    |    fsqr     fsqz      fsql   |   DELT   |  RAX(v=0) |    W_MHD   |   <BETA>   |  <M>  |  DELBSQ
   95 | 1.73e-03  1.83e-03  4.94e-04 | 1.65e-06  7.50e-06  5.87e-07 | 6.56e-01 | 5.989e+00 | 7.0441e+01 | 3.9897e-02 | 1.719 | 1.232e-02
  100 | 9.05e-04  1.35e-03  2.50e-04 | 1.11e-06  5.89e-06  5.12e-07 | 6.56e-01 | 5.990e+00 | 7.0458e+01 | 3.9881e-02 | 1.739 | 9.982e-03
  105 | 2.70e-04  3.65e-04  1.02e-04 | 2.57e-07  1.22e-06  1.00e-07 | 6.56e-01 | 5.991e+00 | 7.0432e+01 | 3.9912e-02 | 1.750 | 6.159e-03
  110 | 1.80e-04  2.56e-04  4.71e-05 | 1.53e-07  8.76e-07  7.73e-08 | 6.56e-01 | 5.991e+00 | 7.0437e+01 | 3.9907e-02 | 1.737 | 4.358e-03
  115 | 1.18e-04  1.31e-04  2.26e-05 | 1.17e-07  5.85e-07  5.28e-08 | 6.56e-01 | 5.991e+00 | 7.0455e+01 | 3.9892e-02 | 1.721 | 3.450e-03
  120 | 3.81e-05  4.28e-05  1.11e-05 | 1.75e-08  1.00e-07  2.53e-08 | 6.56e-01 | 5.992e+00 | 7.0441e+01 | 3.9906e-02 | 1.724 | 2.789e-03
  125 | 2.20e-05  3.14e-05  6.07e-06 | 1.79e-08  1.15e-07  1.57e-08 | 6.56e-01 | 5.992e+00 | 7.0449e+01 | 3.9900e-02 | 1.721 | 2.420e-03
  130 | 1.49e-05  1.38e-05  3.27e-06 | 1.02e-08  5.51e-08  1.12e-08 | 6.56e-01 | 5.992e+00 | 7.0444e+01 | 3.9907e-02 | 1.715 | 2.136e-03
  135 | 5.63e-06  5.19e-06  2.04e-06 | 3.07e-09  1.13e-08  6.09e-09 | 6.56e-01 | 5.992e+00 | 7.0444e+01 | 3.9907e-02 | 1.706 | 1.968e-03
  140 | 3.99e-06  4.75e-06  1.20e-06 | 3.86e-09  1.84e-08  5.38e-09 | 6.56e-01 | 5.993e+00 | 7.0444e+01 | 3.9908e-02 | 1.703 | 1.839e-03
  145 | 2.28e-06  2.14e-06  8.93e-07 | 1.88e-09  6.24e-09  4.43e-09 | 6.56e-01 | 5.993e+00 | 7.0445e+01 | 3.9908e-02 | 1.700 | 1.815e-03
  150 | 1.30e-06  9.66e-07  5.82e-07 | 1.14e-09  2.42e-09  4.81e-09 | 6.56e-01 | 5.993e+00 | 7.0445e+01 | 3.9910e-02 | 1.691 | 1.749e-03
  155 | 9.17e-07  8.54e-07  3.72e-07 | 1.13e-09  3.04e-09  3.75e-09 | 6.56e-01 | 5.993e+00 | 7.0445e+01 | 3.9911e-02 | 1.688 | 1.697e-03
  160 | 5.72e-07  3.71e-07  2.82e-07 | 7.84e-10  8.37e-10  3.34e-09 | 6.56e-01 | 5.993e+00 | 7.0445e+01 | 3.9912e-02 | 1.683 | 1.692e-03
  165 | 3.72e-07  2.61e-07  2.36e-07 | 6.69e-10  6.93e-10  3.08e-09 | 6.56e-01 | 5.994e+00 | 7.0444e+01 | 3.9914e-02 | 1.678 | 1.660e-03
  170 | 2.99e-07  2.04e-07  1.89e-07 | 6.23e-10  7.48e-10  2.75e-09 | 6.56e-01 | 5.994e+00 | 7.0445e+01 | 3.9914e-02 | 1.676 | 1.648e-03
  175 | 2.50e-07  9.68e-08  1.67e-07 | 5.86e-10  1.56e-10  2.53e-09 | 6.56e-01 | 5.994e+00 | 7.0445e+01 | 3.9915e-02 | 1.670 | 1.624e-03
  180 | 2.14e-07  9.55e-08  1.49e-07 | 5.13e-10  2.60e-10  2.29e-09 | 6.56e-01 | 5.994e+00 | 7.0445e+01 | 3.9917e-02 | 1.665 | 1.613e-03
  185 | 1.85e-07  8.27e-08  1.22e-07 | 4.62e-10  2.46e-10  2.03e-09 | 6.56e-01 | 5.995e+00 | 7.0445e+01 | 3.9918e-02 | 1.662 | 1.586e-03
  190 | 1.48e-07  5.24e-08  1.05e-07 | 4.18e-10  7.55e-11  1.77e-09 | 6.56e-01 | 5.995e+00 | 7.0445e+01 | 3.9919e-02 | 1.656 | 1.574e-03
  195 | 1.24e-07  5.45e-08  9.03e-08 | 3.93e-10  1.48e-10  1.51e-09 | 6.56e-01 | 5.995e+00 | 7.0444e+01 | 3.9920e-02 | 1.651 | 1.551e-03
  200 | 9.94e-08  5.14e-08  7.52e-08 | 3.45e-10  1.53e-10  1.28e-09 | 6.56e-01 | 5.996e+00 | 7.0444e+01 | 3.9922e-02 | 1.646 | 1.529e-03
  205 | 8.83e-08  2.79e-08  6.25e-08 | 3.21e-10  3.70e-11  1.09e-09 | 6.56e-01 | 5.996e+00 | 7.0444e+01 | 3.9923e-02 | 1.641 | 1.520e-03
  210 | 7.97e-08  2.98e-08  5.37e-08 | 2.88e-10  7.62e-11  9.61e-10 | 6.56e-01 | 5.997e+00 | 7.0444e+01 | 3.9925e-02 | 1.638 | 1.504e-03
