 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
  SEQ =    1 TIME SLICE  0.0000E+00
  PROCESSING INPUT.w7x_768
  THIS IS PARVMEC (PARALLEL VMEC), VERSION 10.0
  Lambda: Full Radial Mesh. L-Force: hybrid full/half.

  COMPUTER: demo-host   OS: GNU/Linux   RELEASE: 7.0.0-27-generic  DATE = Jul 21,2026  TIME = 14:28:16
  Opening vacuum field file: mgrid_w7x.nc
  Time to read MGRID file:   6.79E-02 s

  NS =    8 NO. FOURIER MODES =  288 FTOLV =  1.000E-11 NITER =   4000
  PROCESSOR COUNT - RADIAL:    1  VACUUM:    1

  ITER    FSQR      FSQZ      FSQL    RAX(v=0)    DELT        WMHD      DEL-BSQ
  205  8.38E-08  3.99E-08  7.27E-08  5.994E+00  7.08E-01  7.0449E+01  1.479E-03
  210  7.76E-08  3.11E-08  5.90E-08  5.994E+00  7.08E-01  7.0449E+01  1.461E-03
  215  6.24E-08  2.81E-08  4.80E-08  5.995E+00  7.08E-01  7.0448E+01  1.451E-03
  220  5.13E-08  2.51E-08  4.03E-08  5.995E+00  7.08E-01  7.0448E+01  1.437E-03
  225  4.50E-08  2.04E-08  3.14E-08  5.996E+00  7.08E-01  7.0448E+01  1.428E-03
  230  3.88E-08  1.68E-08  2.63E-08  5.996E+00  7.08E-01  7.0448E+01  1.421E-03
  235  3.21E-08  1.49E-08  2.26E-08  5.997E+00  7.08E-01  7.0447E+01  1.417E-03
  240  2.73E-08  1.07E-08  1.98E-08  5.997E+00  7.08E-01  7.0447E+01  1.413E-03
  245  2.21E-08  8.94E-09  1.69E-08  5.998E+00  7.08E-01  7.0447E+01  1.413E-03
  250  1.98E-08  5.98E-09  1.47E-08  5.998E+00  7.08E-01  7.0447E+01  1.409E-03
  255  1.69E-08  5.58E-09  1.31E-08  5.999E+00  7.08E-01  7.0446E+01  1.406E-03
  260  1.54E-08  4.31E-09  1.17E-08  5.999E+00  7.08E-01  7.0446E+01  1.403E-03
  265  1.27E-08  3.14E-09  1.09E-08  6.000E+00  7.08E-01  7.0446E+01  1.400E-03
  270  1.18E-08  2.77E-09  1.04E-08  6.000E+00  7.08E-01  7.0446E+01  1.399E-03
  275  1.07E-08  2.74E-09  9.77E-09  6.000E+00  7.08E-01  7.0446E+01  1.397E-03
  280  9.74E-09  2.68E-09  8.86E-09  6.001E+00  7.08E-01  7.0446E+01  1.393E-03
  285  9.03E-09  2.92E-09  8.18E-09  6.001E+00  7.08E-01  7.0445E+01  1.392E-03
  290  8.09E-09  2.88E-09  7.80E-09  6.002E+00  7.08E-01  7.0445E+01  1.392E-03
  295  7.27E-09  2.59E-09  7.46E-09  6.002E+00  7.08E-01  7.0445E+01  1.391E-03
  300  6.78E-09  2.14E-09  7.19E-09  6.003E+00  7.08E-01  7.0445E+01  1.389E-03
  305  6.04E-09  2.28E-09  6.92E-09  6.003E+00  7.08E-01  7.0445E+01  1.388E-03
  310  5.56E-09  1.87E-09  6.65E-09  6.003E+00  7.08E-01  7.0445E+01  1.387E-03
  315  5.02E-09  1.98E-09  6.35E-09  6.004E+00  7.08E-01  7.0445E+01  1.385E-03
  320  4.69E-09  1.59E-09  6.01E-09  6.004E+00  7.08E-01  7.0445E+01  1.385E-03
  325  4.21E-09  1.45E-09  5.82E-09  6.004E+00  7.08E-01  7.0445E+01  1.383E-03
  330  3.81E-09  1.12E-09  5.68E-09  6.004E+00  7.08E-01  7.0445E+01  1.382E-03
  335  3.48E-09  1.03E-09  5.45E-09  6.005E+00  7.08E-01  7.0445E+01  1.380E-03
  340  3.10E-09  9.91E-10  5.27E-09  6.005E+00  7.08E-01  7.0445E+01  1.379E-03
  345  2.90E-09  9.74E-10  5.00E-09  6.005E+00  7.08E-01  7.0445E+01  1.379E-03
  350  2.69E-09  9.55E-10  4.73E-09  6.005E+00  7.08E-01  7.0445E+01  1.378E-03
  355  2.49E-09  8.48E-10  4.52E-09  6.005E+00  7.08E-01  7.0445E+01  1.377E-03
  360  2.14E-09  8.15E-10  4.33E-09  6.006E+00  7.08E-01  7.0445E+01  1.376E-03
  365  2.07E-09  7.39E-10  4.17E-09  6.006E+00  7.08E-01  7.0445E+01  1.375E-03
  370  1.77E-09  7.59E-10  3.93E-09  6.006E+00  7.08E-01  7.0445E+01  1.375E-03
  375  1.66E-09  7.26E-10  3.72E-09  6.006E+00  7.08E-01  7.0445E+01  1.374E-03
  380  1.54E-09  7.29E-10  3.51E-09  6.006E+00  7.08E-01  7.0445E+01  1.373E-03
  385  1.39E-09  6.63E-10  3.31E-09  6.006E+00  7.08E-01  7.0445E+01  1.373E-03
  390  1.26E-09  6.03E-10  3.16E-09  6.006E+00  7.08E-01  7.0445E+01  1.371E-03
  395  1.14E-09  5.64E-10  2.97E-09  6.006E+00  7.08E-01  7.0445E+01  1.370E-03
  400  1.08E-09  5.38E-10  2.76E-09  6.006E+00  7.08E-01  7.0445E+01  1.370E-03
  405  9.77E-10  5.03E-10  2.57E-09  6.006E+00  7.08E-01  7.0445E+01  1.368E-03
  410  8.81E-10  4.67E-10  2.43E-09  6.006E+00  7.08E-01  7.0445E+01  1.367E-03
  415  8.16E-10  4.49E-10  2.32E-09  6.006E+00  7.08E-01  7.0445E+01  1.366E-03
  420  7.64E-10  3.94E-10  2.18E-09  6.007E+00  7.08E-01  7.0445E+01  1.365E-03
  425  6.83E-10  3.76E-10  2.03E-09  6.007E+00  7.08E-01  7.0445E+01  1.364E-03
  430  6.57E-10  3.42E-10  1.90E-09  6.007E+00  7.08E-01  7.0445E+01  1.362E-03
  435  6.15E-10  3.35E-10  1.75E-09  6.007E+00  7.08E-01  7.0445E+01  1.362E-03
  440  5.73E-10  3.10E-10  1.63E-09  6.007E+00  7.08E-01  7.0445E+01  1.360E-03
  445  5.40E-10  2.83E-10  1.55E-09  6.007E+00  7.08E-01  7.0445E+01  1.360E-03
  450  5.13E-10  2.66E-10  1.47E-09  6.007E+00  7.08E-01  7.0445E+01  1.359E-03
  455  4.67E-10  2.58E-10  1.39E-09  6.007E+00  7.08E-01  7.0445E+01  1.359E-03
  460  4.55E-10  2.47E-10  1.30E-09  6.007E+00  7.08E-01  7.0445E+01  1.358E-03
  465  4.39E-10  2.36E-10  1.21E-09  6.007E+00  7.08E-01  7.0445E+01  1.358E-03
  470  4.12E-10  2.11E-10  1.13E-09  6.007E+00  7.08E-01  7.0445E+01  1.358E-03
  475  3.99E-10  1.92E-10  1.06E-09  6.007E+00  7.08E-01  7.0445E+01  1.358E-03
